STUSPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
WA	5310320	02407972	Carson CDP	12409415	63370	4.791	0.024	45.735798	-121.832556
WA	5310455	02407981	Cascade Valley CDP	7677372	4247316	2.964	1.640	47.141022	-119.328343
WA	5310495	02409405	Cashmere city	2667011	107584	1.030	0.042	47.517229	-120.466267
WA	5310565	02409409	Castle Rock city	4110151	446530	1.587	0.172	46.281274	-122.914563
WA	5310600	02407993	Cathcart CDP	10002814	0	3.862	0.000	47.852603	-122.105802
WA	5310635	02413181	Cathlamet town	1264185	18694	0.488	0.007	46.205819	-123.384018
WA	5310645	02584956	Cavalero CDP	4241519	2871	1.638	0.001	47.984288	-122.075543
WA	5311090	02408003	Centerville CDP	8591495	0	3.317	0.000	45.753994	-120.908080
WA	5311160	02409429	Centralia city	19208235	355513	7.416	0.137	46.723086	-122.969619
WA	5311195	02408006	Central Park CDP	9112305	10253	3.518	0.004	46.971808	-123.702302
WA	5311325	02584957	Chain Lake CDP	27330889	129979	10.553	0.050	47.903093	-121.987047
WA	5311475	02409439	Chehalis city	14333839	56985	5.534	0.022	46.664176	-122.965425
WA	5311615	02409440	Chelan city	16284617	160215	6.288	0.062	47.844389	-120.011941
WA	5311685	02586729	Chelan Falls CDP	723226	0	0.279	0.000	47.799429	-119.988255
WA	5311825	02409441	Cheney city	11051031	77423	4.267	0.030	47.491127	-117.581512
WA	5312015	02408017	Cherry Grove CDP	6313968	0	2.438	0.000	45.801851	-122.576262
WA	5312140	02409444	Chewelah city	7718091	0	2.980	0.000	48.282571	-117.716943
WA	5312175	02584958	Chico CDP	5934523	0	2.291	0.000	47.623440	-122.719844
WA	5312315	02407609	Chinook CDP	2616297	0	1.010	0.000	46.275503	-123.942233
WA	5312525	02586730	Clallam Bay CDP	1464256	0	0.565	0.000	48.253517	-124.257798
WA	5312630	02409469	Clarkston city	5198663	210694	2.007	0.081	46.415405	-117.050135
